CODE NAME,CODE VALUE,DESCRIPTION
ACTIVITY_C,532,VISION AND HEARING SCREENING
ACTIVITY_C,533,WIC CERTIFICATION
ACTIVITY_C,534,FAMILY SUPPORT AND PRESERVATN
ACTIVITY_C,535,IPLAN
ACTIVITY_C,536,OTHER AGENCY OR PGM ADMIN
ACTIVITY_C,600,STAFF TRAINING AND EVALUATION
ACTIVITY_C,999,UNKNOWN AT THIS TIME
ACTIVITY_C,130,HFI FAMILY SUPPORT
ACTIVITY_C,700,CHILD HEALTH
ACTIVITY_C,701,PRENATAL
ACTIVITY_C,702,GENERAL PUBLIC HEALTH NURSING
ACTIVITY_C,703,SENIOR WELLNESS
ACTIVITY_C,704,DEVELOPMENTAL ASSESSMENTS
ACTIVITY_C,705,CLINIC DEFINED ACTIVITY 1
ACTIVITY_C,706,CLINIC DEFINED ACTIVITY 2
ACTIVITY_C,709,CLINIC DEFINED ACTIVITY 5
ACTIVITY_C,710,CLINIC DEFINED ACTIVITY 6
ACTIVITY_C,711,CLINIC DEFINED ACTIVITY 7
ACTIVITY_C,712,CLINIC DEFINED ACTIVITY 8
ACTIVITY_C,707,CLINIC DEFINED ACTIVITY 3
ACTIVITY_C,708,CLINIC DEFINED ACTIVITY 4
ACTIVITY_C,713,CLINIC DEFINED ACTIVITY 9
ACTIVITY_C,714,CLINIC DEFINED ACTIVITY 10
ACTIVITY_C,131,HFI FAMILY ASSESSMENT
ACTIVITY_C,800,SERVICE COORDINATION
ACTIVITY_C,132,HFI CREATIVE OUTREACH CONTACT
ACTIVITY_C,537,HEALTHY START
ACTIVITY_C,538,TEEN PARENT SERVICES
ACTIVITY_C,539,FCM NETWORKING
ACTIVITY_C,715,CLINIC DEFINED ACTIVITY 11
ACTIVITY_C,716,CLINIC DEFINED ACTIVITY 12
ACTIVITY_C,717,CLINIC DEFINED ACTIVITY 13
ACTIVITY_C,718,CLINIC DEFINED ACTIVITY 14
ACTIVITY_C,719,CLINIC DEFINED ACTIVITY 15
ACTIVITY_C,531,SIDS COUNSELING VISIT
ACTIVITY_C,133,DOULA HOME VISIT
ACTIVITY_C,541,MEDICAID SERVICES
ADDR_ID_C,CLIN,CLINIC
ADDR_ID_C,EMPL,EMPLOYEE
ADDR_ID_C,PART,PARTICIPANT
ADDR_ID_C,PROV,PROVIDER
ADDR_ID_C,HFS,HFS MAILING ADDRESS
ADDR_ID_C,PVDT,PROVIDER DETAIL
ADDR_ST_C,AL,ALABAMA
ADDR_ST_C,AK,ALASKA
ADDR_ST_C,AZ,ARIZONA
ADDR_ST_C,AR,ARKANSAS
ADDR_ST_C,AS,AMERICAN SAMOA
ADDR_ST_C,CA,CALIFORNIA
ADDR_ST_C,CO,COLORADO
ADDR_ST_C,CT,CONNECTICUT
ADDR_ST_C,DE,DELAWARE
ADDR_ST_C,DC,DISTRICT OF COLUMBIA
ADDR_ST_C,FM,FEDERATED STATES OF MICRONESIA
ADDR_ST_C,FL,FLORIDA
ADDR_ST_C,GA,GEORGIA
ADDR_ST_C,GU,GUAM
ADDR_ST_C,HI,HAWAII
ADDR_ST_C,ID,IDAHO
ADDR_ST_C,IL,ILLINOIS
ADDR_ST_C,IN,INDIANA
ADDR_ST_C,IA,IOWA
ADDR_ST_C,KS,KANSAS
ADDR_ST_C,KY,KENTUCKY
ADDR_ST_C,LA,LOUISIANA
ADDR_ST_C,ME,MAINE
ADDR_ST_C,MH,MARSHALL ISLANDS
ADDR_ST_C,MD,MARYLAND
ADDR_ST_C,MA,MASSACHUSETTS
ADDR_ST_C,MI,MICHIGAN
ADDR_ST_C,MN,MINNESOTA
ADDR_ST_C,MS,MISSISSIPPI
ADDR_ST_C,MO,MISSOURI
ADDR_ST_C,MT,MONTANA
ADDR_ST_C,NE,NEBRASKA
ADDR_ST_C,NV,NEVADA
ADDR_ST_C,NH,NEW HAMPSHIRE
ADDR_ST_C,NJ,NEW JERSEY
ADDR_ST_C,NM,NEW MEXICO
ADDR_ST_C,NY,NEW YORK
ADDR_ST_C,NC,NORTH CAROLINA
ADDR_ST_C,ND,NORTH DAKOTA
ADDR_ST_C,MP,NORTHERN MARIANA ISLANDS
ADDR_ST_C,OH,OHIO
ADDR_ST_C,OK,OKLAHOMA
ADDR_ST_C,OR,OREGON
ADDR_ST_C,PW,PALAU
ADDR_ST_C,PA,PENNSYLVANIA
ADDR_ST_C,PR,PUERTO RICO
ADDR_ST_C,RI,RHODE ISLAND
ADDR_ST_C,SC,SOUTH CAROLINA
ADDR_ST_C,SD,SOUTH DAKOTA
ADDR_ST_C,TN,TENNESSEE
ADDR_ST_C,TX,TEXAS
ADDR_ST_C,UT,UTAH
ADDR_ST_C,VT,VERMONT
ADDR_ST_C,VA,VIRGINIA
ADDR_ST_C,VI,VIRGIN ISLANDS
ADDR_ST_C,WA,WASHINGTON
ADDR_ST_C,WV,WEST VIRGINIA
ADDR_ST_C,WI,WISCONSIN
ADDR_ST_C,WY,WYOMING
ADDR_TYP_C,E,EMERGENCY CONTACT
ADDR_TYP_C,M,MAILING
ADDR_TYP_C,R,RESIDENCE
ADDR_TYP_C,S,SECONDARY
ADDR_TYP_C,V,SERVICE CLASS LOCATION
ADDR_TYP_C,O,OFFICE
ADDR_TYP_C,HFS,HFS ADDRESS FROM MEDICAID
ADDR_TYP_C,INS1,PRIVATE INSURANCE CO.#1
ADDR_TYP_C,INS2,PRIVATE INSURANCE CO.#2
ADDR_TYP_C,INS3,PRIVATE INSURANCE CO.#3
ADDR_TYP_C,EMP1,EMPLOYER #1
ADDR_TYP_C,EMP2,EMPLOYER #2
ADDR_TYP_C,EMP3,EMPLOYER #3
ADDR_TYP_C,B,BILLING ADDRESS(FOR PROVIDERS)
ADDR_TYP_C,INS4,PRIVATE INSURANCE CO. #4
ADDR_TYP_C,INS5,PRIVATE INSURANCE CO. #5
ADDR_TYP_C,INS6,PRIVATE INSURANCE CO. #6
ADDR_TYP_C,INS7,PRIVATE INSURANCE CO. #7
ADDR_TYP_C,INS8,PRIVATE INSURANCE CO. #8
ADDR_TYP_C,INS9,PRIVATE INSURANCE CO. #9
ADQ_ASSM_C,1,ROUTINE RESCREEN IN 6 MONTHS
ADQ_ASSM_C,2,ROUTINE RESCREEN IN 1 YEAR
ADQ_ASSM_C,3,ROUTINE RESCREEN IN 2 YEARS
ADQ_ASSM_C,4,ROUTINE RESCREEN BENIGN AGE 40
ADQ_ASSM_C,5,FOLLOW-UP RESCREEN IN 6 MONTHS
ADQ_ASSM_C,6,FOLLOW-UP RESCREEN IN 1 YEAR
ADQ_ASSM_C,B1,DIAG MAMMOGRAM/ADD VIEWS
ADQ_ASSM_C,B2,ULTRASOUND
ADQ_ASSM_C,B3,STEREOTACTIC BREAST BIOPSY
ADQ_ASSM_C,B4,BIOPSY OR LUMPECTOMY-NOT REIMB
ADQ_ASSM_C,B5,ASPIRATION OF CYST OF BREAST
ADQ_ASSM_C,B6,FINE NEEDLE ASPIR;SUPERFICIAL
ADQ_ASSM_C,B7,FINE NEEDLE ASPIR;DEEP TISSUE
ADQ_ASSM_C,C1,COLPOSCOPY W/O DIRECTED BIOPSY
ADQ_ASSM_C,C2,COLPOSCOPY W/ DIRECTED BIOPSY
ADQ_ASSM_C,C3,OTHER PROCEDURE
ADQ_ASSM_C,11,SATISFACTORY EVAL-LIMITED BY
ADQ_ASSM_C,12,UNSATISFACTORY
ADQ_ASSM_C,RB1,RESCREEN IN 1 YEAR
ADQ_ASSM_C,RB2,ROUTINE RESCREEN BEGIN AGE 40
ADQ_ASSM_C,RB3,FOLLOW-UP RESCREEN IN 6 MONTHS
ADQ_ASSM_C,RB4,DX MAMMOGRAM OR ADD VIEWS
ADQ_ASSM_C,RB5,ULTRASOUND
ADQ_ASSM_C,RB6,REPEAT CBE/SURGICAL CONSULT
ADQ_ASSM_C,RB7,FNA OR CYST ASPIRATION
ADQ_ASSM_C,RB8,BIOPSY
ADQ_ASSM_C,RB9,OTHER
ADQ_ASSM_C,RC1,REPEAT PAP TEST IN 6 MONTHS
ADQ_ASSM_C,RC2,RE-SCREEN IN 1 YEAR
ADQ_ASSM_C,RC3,RE-SCREEN IN 2 YEARS
ADQ_ASSM_C,RC4,RE-SCREEN IN 3 YEARS
ADQ_ASSM_C,RC5,COLPOSCOPY W/O BIOPSY
ADQ_ASSM_C,RC6,COLPOSCOPY W/ BIOPSY
ADQ_ASSM_C,RC7,OTHER PROCEDURE
ADQ_ASSM_C,RC8,SURGICAL CONSULTATION
AGENCY_C,AC,ADAMS COUNTY HEALTH DEPT
AGENCY_C,AT,THE CLINIC IN ALTGELD
AGENCY_C,BC,BCMW COMMUNITY SERVICES INC.
AGENCY_C,BN,BOND COUNTY HEALTH DEPARTMENT
AGENCY_C,BO,BOONE COUNTY HEALTH DEPARTMENT
AGENCY_C,BP,BUREAU COUNTY HEALTH DEPT
AGENCY_C,BR,BROWN COUNTY HEALTH DEPARTMENT
AGENCY_C,BV,ST. CLAIR COUNTY HEALTH DEPT
AGENCY_C,BW,BETHEL NEW LIFE
AGENCY_C,CA,CASS COUNTY HEALTH DEPARTMENT
AGENCY_C,CC,COLES COUNTY HEALTH DEPARTMENT
AGENCY_C,CD,CEDA
AGENCY_C,CE,LOGAN COUNTY HEALTH DEPARTMENT
AGENCY_C,CF,CRAWFORD COUNTY HEALTH DEPT
AGENCY_C,CH,CRISTOPHER RURAL HEALTH CORP.
AGENCY_C,CI,COOK COUNTY DEPT OF PUBLIC HLT
AGENCY_C,CL,CALHOUN COUNTY HEALTH DEPT
AGENCY_C,CN,CHRISTIAN COUNTY HEALTH DEPT
AGENCY_C,CO,FANTUS/ COOK CO. HOSPITAL
AGENCY_C,CU,CHAMPAIGN-URBANA PUBLIC H.DIST
AGENCY_C,CW,CLAY COUNTY HEALTH DEPARTMENT
AGENCY_C,CY,COORDINATED YOUTH SERVICES
AGENCY_C,DH,CHICAGO DEPT. OF HEALTH
AGENCY_C,DK,DEKALB COUNTY HEALTH DEPARMENT
AGENCY_C,DN,D. HALE WILLIAMS HEALTH CENTER
AGENCY_C,DP,DUPAGE COUNTY HEALTH DEPT
AGENCY_C,DW,DEWITT-PIATT BI-CO. H. DEPT
AGENCY_C,EF,EFFINGHAM COUNTY HEALTH DEPT
AGENCY_C,EG,EGYPTIAN HEALTH DEPARTMENT
AGENCY_C,ES,EAST SIDE HEALTH DISTRICT
AGENCY_C,FA,FAYETTE COUNTY HEALTH DEPT
AGENCY_C,FC,FULTON COUNTY HEALTH DEPT
AGENCY_C,GN,GRUNDY COUNTY HEALTH DEPT
AGENCY_C,GP,GREENE COUNTY HEALTH DEPT
AGENCY_C,HA,HANCOCK COUNTY HEALTH DEPT
AGENCY_C,HR,HENRY COUNTY HEALTH DEPARTMENT
AGENCY_C,HS,HENDERSON COUNTY HEALTH DEPT
AGENCY_C,IF,FORD-IROQUOIS PUBLIC H. DEPT
AGENCY_C,JC,JACKSON COUNTY HEALTH DEPT
AGENCY_C,JD,JODAVIESS COUNTY HEALTH DEPT
AGENCY_C,JF,JEFFERSON COUNTY HEALTH DEPT
AGENCY_C,JP,JASPER COUNTY HEALTH DEPT
AGENCY_C,JR,JERSEY COUNTY HEALTH DEPT
AGENCY_C,JW,WILL COUNTY HEALTH DEPARTMENT
AGENCY_C,KC,KANKAKEE COUNTY HEALTH DEPT
AGENCY_C,KM,KOMED HEALTH CENTER
AGENCY_C,KV,VNA FOX VALLEY
AGENCY_C,KW,WELL CHILD CONFERENCE
AGENCY_C,LA,LAKE COUNTY HEALTH DEPARTMENT
AGENCY_C,LE,LEE COUNTY HEALTH DEPARTMENT
AGENCY_C,LS,LASALLE-PLANNED PARENTHOOD
AGENCY_C,LV,LIVINGSTON COUNTY HEALTH DEPT
AGENCY_C,LW,LAWRENCE COUNTY HEALTH DEPT
AGENCY_C,MA,MACON COUNTY HEALTH DEPARTMENT
AGENCY_C,MC,MCLEAN COUNTY HEALTH DEPT
AGENCY_C,MD,MENARD COUNTY HEALTH DEPT
AGENCY_C,MH,MCHENRY COUNTY HEALTH DEPT
AGENCY_C,MI,MOUNT SINAI HOSPITAL MED CTR.
AGENCY_C,MN,MASON COUNTY HEALTH DEPARTMENT
AGENCY_C,MO,MORGAN COUNTY HEALTH DEPT
AGENCY_C,MR,MERCER COUNTY HEALTH DEPT
AGENCY_C,MU,MACOUPIN COUNTY HEALTH DEPT
AGENCY_C,MX,MCDONOUGH COUNTY HEALTH DEPT
AGENCY_C,NC,NEW CITY HEALTH SERVICES
AGENCY_C,NN,NEAR NORTH HEALTH SERVICE CORP
AGENCY_C,OG,OGLE COUNTY HEALTH DEPARTMENT
AGENCY_C,PC,PERRY COUNTY HEALTH DEPARTMENT
AGENCY_C,PH,PEORIA CITY/CO. HEALTH DEPT
AGENCY_C,PK,PIKE COUNTY HEALTH DEPARTMENT
AGENCY_C,QC,SOUTHERN 7 HEALTH DEPARTMENT
AGENCY_C,RC,ROCK ISLAND COUNTY HEALTH DEPT
AGENCY_C,RD,MONROE/RANDOLPH BI-COUNTY
AGENCY_C,RL,ROSELAND COMMUNITY HOSPITAL
AGENCY_C,SC,SHELBY COUNTY HEALTH DEPT
AGENCY_C,SG,SANGAMON COUNTY HEALTH DEPT
AGENCY_C,SH,SPRINGFIELD CITY HLTH DEPT
AGENCY_C,SP,STEPHENSON COUNTY HEALTH DEPT
AGENCY_C,ST,STICKNEY TOWNSHIP PUB H. DIST.
AGENCY_C,SU,SPRINGFIELD URBAN LEAGUE
AGENCY_C,SY,SCHUYLER COUNTY HEALTH DEPT.
AGENCY_C,TZ,TAZWELL COUNTY HEALTH DEPT
AGENCY_C,VC,VERMILLION COUNTY HEALTH DEPT
AGENCY_C,WB,WABASH COUNTY HEALTH DEPT
AGENCY_C,WC,WINNEBAGO COUNTY HEALTH DEPT
AGENCY_C,WF,EUREKA COMM. HOSP. HOME HEALTH
AGENCY_C,WH,WHITESIDE COUNTY HEALTH DEPT
AGENCY_C,WY,WAYNE COUNTY HEALTH DEPT
AGENCY_C,MG,MONTGOMERY COUNTY HEALTH DEPT
ASM_AS01,1,Yes
ASM_AS01,2,No
ASM_AS01,3,Don't Know
ASM_AS02,1,Yes
ASM_AS02,2,No
ASM_AS02,3,Don't Know
ASM_AS02,4,Not an Alert Reading
ASM_AS02,5,Already on medication
ASM_AS03,1,Yes
ASM_AS03,2,No
ASM_AS03,3,Don't Know
ASM_AS03,4,Not an Abnormal Reading
ASM_AS03,5,Already on medication
ASM_AS04,1,Yes
ASM_AS04,2,No
ASM_AS04,3,Don't Know
ASM_AS04,4,No Positive Responses
ASM_AS04,5,Already on medication
ASM_AS05,1,Open
ASM_AS05,2,Closed
ASM_AS06,1,Yes
ASM_AS06,2,No
ASM_AS07,2,Complete
ASM_AS07,3,Not Med indicated part in TX
ASM_AS07,5,Not an alert reading
ASM_AS07,7,Refused
ASM_AS07,9,Not completed/lost to followup
ASM_AS07,1,Pending
ASM_AS08,1,Medication
ASM_AS08,2,Therapeutic Lifestyle Change
ASM_AS08,3,Medication and TLC
ASM_AS08,4,Nothing prescribed
ASM_AS08,5,Not an alert reading
ASM_AS08,6,Already on meds
ASM_AS08,7,Refused
ASM_AS08,9,Lost-to-followup
ASM_FASD1,0,0
ASM_FASD1,1,1
ASM_FASD1,2,2
ASM_FASD1,3,3
ASM_FASD1,4,4
ASM_FASD1,5,5
ASM_FASD1,6,6
ASM_FASD1,7,7
ASM_FASD1,8,8
ASM_FASD1,9,9
ASM_FASD1,10,10 OR MORE
ASM_FASD2,1,EVERY DAY
ASM_FASD2,2,ALMOST EVERY DAY
ASM_FASD2,3,3-4 DAYS A WEEK
ASM_FASD2,4,1-2 DAYS A WEEK
ASM_FASD2,5,2-3 DAYS A MONTH
ASM_FASD2,6,ONCE A MONTH
ASM_FASD2,7,LESS THAN ONCE A MONTH
ASM_FASD2,8,NEVER
ASM_IR01,1,1st Intervention
ASM_IR01,2,2nd Intervention
ASM_IR01,3,3rd Intervention
ASM_IR01,4,4th Intervention
ASM_IR01,5,5th Intervention
ASM_IR01,6,6th Intervention
ASM_IR01,7,7th Intervention
ASM_IR01,8,8th Intervention
ASM_IR01,9,9th Intervention
ASM_IR01,10,10th Intervention
ASM_IR01,11,11th Intervention
ASM_IR01,12,12th Intervention
ASM_IR02,1,Open
ASM_IR02,2,Closed
ASM_RSP01,1,Yes
ASM_RSP01,2,No
ASM_RSP01,87,I don't know
ASM_RSP01,88,Refused to answer
ASM_RSP02,1,Always
ASM_RSP02,2,Frequently
ASM_RSP02,3,Sometimes
ASM_RSP02,4,Rarely or Never
ASM_RSP02,87,I don't know
ASM_RSP02,88,Refused to answer
ASM_RSP03,1,Never (Go to question 2)
ASM_RSP03,10,5 or more times per day
ASM_RSP03,2,1-3 Times last month
ASM_RSP03,3,1-2 times per week
ASM_RSP03,4,3-4 times per week
ASM_RSP03,5,5-6 times per week
ASM_RSP03,6,1 time per day
ASM_RSP03,7,2 times per day
ASM_RSP03,8,3 times per day
ASM_RSP03,87,I don't know
ASM_RSP03,88,refused to answer
ASM_RSP03,9,4 times per day
ASM_RSP04,1,Less than 3/4 cup (6 oz.)
ASM_RSP04,2,3/4 to 1 1/4 cup (6 - 10 oz)
ASM_RSP04,3,1 1/4 to 2 cups (10 - 16 oz)
ASM_RSP04,4,More than 2 cups (16 oz)
ASM_RSP04,87,I don't know
ASM_RSP04,88,refused to answer
ASM_RSP05,1,Never (Go to question 3)
ASM_RSP05,10,5 or more times per day
ASM_RSP05,2,1-3 Times last month
ASM_RSP05,3,1-2 times per week
ASM_RSP05,4,3-4 times per week
ASM_RSP05,5,5-6 times per week
ASM_RSP05,6,1 time per day
ASM_RSP05,7,2 times per day
ASM_RSP05,8,3 times per day
ASM_RSP05,87,I don't know
ASM_RSP05,88,refused to answer
ASM_RSP05,9,4 times per day
ASM_RSP06,1,Less than 1 medium fruit
ASM_RSP06,2,1 medium fruit
ASM_RSP06,3,2 medium fruits
ASM_RSP06,4,More than 2 medium fruits
ASM_RSP06,5,Less than 1/2 cup
ASM_RSP06,6,About 1/2 cup
ASM_RSP06,7,About 1 cup
ASM_RSP06,8,More than 1 cup
ASM_RSP06,87,I don't know
ASM_RSP06,88,Refused to answer
ASM_RSP07,1,Never (Go to question 4)
ASM_RSP07,10,5 or more times per day
ASM_RSP07,2,1-3 Times last month
ASM_RSP07,3,1-2 times per week
ASM_RSP07,4,3-4 times per week
ASM_RSP07,5,5-6 times per week
ASM_RSP07,6,1 time per day
ASM_RSP07,7,2 times per day
ASM_RSP07,8,3 times per day
ASM_RSP07,87,I don't know
ASM_RSP07,88,refused to answer
ASM_RSP07,9,4 times per day
ASM_RSP08,1,Never ( Go to question 5)
ASM_RSP08,10,5 or more times per day
ASM_RSP08,2,1-3 Times last month
ASM_RSP08,3,1-2 times per week
ASM_RSP08,4,3-4 times per week
ASM_RSP08,5,5-6 times per week
ASM_RSP08,6,1 time per day
ASM_RSP08,7,2 times per day
ASM_RSP08,8,3 times per day
ASM_RSP08,87,I don't know
ASM_RSP08,88,refused to answer
ASM_RSP08,9,4 times per day
ASM_RSP09,1,Small order or less (1 cup)
ASM_RSP09,2,Medium order (about 1 1/2 cups
ASM_RSP09,3,Large order (about 2 cups)
ASM_RSP09,4,Supersize order or more (3 cup
ASM_RSP09,87,I don't know
ASM_RSP09,88,Refused to answer
ASM_RSP10,1,Never ( Go to question 6)
ASM_RSP10,10,5 or more times per day
ASM_RSP10,2,1-3 Times last month
ASM_RSP10,3,1-2 times per week
ASM_RSP10,4,3-4 times per week
ASM_RSP10,5,5-6 times per week
ASM_RSP10,6,1 time per day
ASM_RSP10,7,2 times per day
ASM_RSP10,8,3 times per day
ASM_RSP10,87,I don't know
ASM_RSP10,88,refused to answer
ASM_RSP10,9,4 times per day
ASM_RSP11,1,1 small potato or less (1/2 cu
ASM_RSP11,2,1 medium potato (1/2 to 1 cup)
ASM_RSP11,3,1 large potato (1 to 1 1/2 cup
ASM_RSP11,4,2 medium potatos or more
ASM_RSP11,87,I don't know
ASM_RSP11,88,Refused to answer
ASM_RSP12,1,Never ( Go to question 7)
ASM_RSP12,10,5 or more times per day
ASM_RSP12,2,1-3 Times last month
ASM_RSP12,3,1-2 times per week
ASM_RSP12,4,3-4 times per week
ASM_RSP12,5,5-6 times per week
ASM_RSP12,6,1 time per day
ASM_RSP12,7,2 times per day
ASM_RSP12,8,3 times per day
ASM_RSP12,87,I don't know
ASM_RSP12,88,refused to answer
ASM_RSP12,9,4 times per day
ASM_RSP13,1,Less than 1/2 cup
ASM_RSP13,2,1/2 to 1 cup
ASM_RSP13,3,1 to 1 1/2 cups
ASM_RSP13,4,more than 1 1/2 cups
ASM_RSP13,87,I don't know
ASM_RSP13,88,Refused to answer
ASM_RSP14,1,Never ( Go to question 8)
ASM_RSP14,10,5 or more times per day
ASM_RSP14,2,1-3 Times last month
ASM_RSP14,3,1-2 times per week
ASM_RSP14,4,3-4 times per week
ASM_RSP14,5,5-6 times per week
ASM_RSP14,6,1 time per day
ASM_RSP14,7,2 times per day
ASM_RSP14,8,3 times per day
ASM_RSP14,87,I don't know
ASM_RSP14,88,refused to answer
ASM_RSP14,9,4 times per day
ASM_RSP15,1,Never ( Go to question 9)
ASM_RSP15,10,5 or more times per day
ASM_RSP15,2,1-3 Times last month
ASM_RSP15,3,1-2 times per week
ASM_RSP15,4,3-4 times per week
ASM_RSP15,5,5-6 times per week
ASM_RSP15,6,1 time per day
ASM_RSP15,7,2 times per day
ASM_RSP15,8,3 times per day
ASM_RSP15,87,I don't know
ASM_RSP15,88,refused to answer
ASM_RSP15,9,4 times per day
ASM_RSP16,1,Never (Go to question 10)
ASM_RSP16,10,5 or more times per day
ASM_RSP16,2,1-3 Times last month
ASM_RSP16,3,1-2 times per week
ASM_RSP16,4,3-4 times per week
ASM_RSP16,5,5-6 times per week
ASM_RSP16,6,1 time per day
ASM_RSP16,7,2 times per day
ASM_RSP16,8,3 times per day
ASM_RSP16,87,I don't know
ASM_RSP16,88,refused to answer
ASM_RSP16,9,4 times per day
ASM_RSP17,1,Less than 1 cup
ASM_RSP17,2,1 to 2 cups
ASM_RSP17,3,2 to 3 cups
ASM_RSP17,4,More than 3 cups
ASM_RSP17,87,I don't know
ASM_RSP17,88,Refused to answer
ASM_RSP18,1,Never
ASM_RSP18,10,5 or more times per day
ASM_RSP18,2,1-3 Times last month
ASM_RSP18,3,1-2 times per week
ASM_RSP18,4,3-4 times per week
ASM_RSP18,5,5-6 times per week
ASM_RSP18,6,1 time per day
ASM_RSP18,7,2 times per day
ASM_RSP18,8,3 times per day
ASM_RSP18,87,I don't know
ASM_RSP18,88,refused to answer
ASM_RSP18,9,4 times per day
ASM_RSP19,1,Less than 1 hour a week
ASM_RSP19,2,1-2 1/2 hours a week
ASM_RSP19,3,3-4 1/2 hours a week
ASM_RSP19,4,5-6 1/2 hours a week
ASM_RSP19,5,7-8 1/2 hours a week
ASM_RSP19,6,9 or more hours a week
ASM_RSP20,87,Don't Know/Not Sure
ASM_RSP20,88,Refused
ASM_RSP21,1,100.00%
ASM_RSP21,10,10.00%
ASM_RSP21,11,0.00%
ASM_RSP21,2,90.00%
ASM_RSP21,3,80.00%
ASM_RSP21,4,70.00%
ASM_RSP21,5,60.00%
ASM_RSP21,6,50.00%
ASM_RSP21,7,40.00%
ASM_RSP21,8,30.00%
ASM_RSP21,87,I don't know
ASM_RSP21,88,Refused to answer
ASM_RSP21,9,20.00%
ASM_RSP22,1,-1
ASM_RSP22,2,-2
ASM_RSP22,3,-3
ASM_RSP22,87,I don't know
ASM_RSP22,88,Refused to answer
ASM_RSP23,1,Not at all active
ASM_RSP23,2,A little active
ASM_RSP23,3,Fairly active
ASM_RSP23,4,Quite active
ASM_RSP23,5,Very active
ASM_RSP23,6,Extremely active
ASM_RSP23,87,Don't know
ASM_RSP23,88,Refused to answer
ASM_RSP24,1,None
ASM_RSP24,2,Less than one
ASM_RSP24,3,1-2 flights
ASM_RSP24,4,3-4 flights
ASM_RSP24,5,5 or more flights
ASM_RSP24,87,Don't know
ASM_RSP24,88,Refused to Answer
ASM_RSP25,1,yes
ASM_RSP25,2,no
ASM_RSP25,87,don't know
ASM_RSP25,88,refused to answer
ASM_RSP26,1,"""yes, none of the above"""
ASM_RSP26,2,"no, WIC, MAC, or Head Start"
ASM_RSP26,87,don't know
ASM_RSP26,88,refused to answer
ASM_RSP27,1,Mexico
ASM_RSP27,2,Cuba
ASM_RSP27,3,Puerto Rico
ASM_RSP27,4,Central America
ASM_RSP27,5,Spain
ASM_RSP27,6,Dominican Republic
ASM_RSP27,7,South America
ASM_RSP27,8,United States
ASM_RSP27,9,Other (Please List)
ASM_RSP27,87,Don't Know
ASM_RSP27,88,Refused to answer
ASM_RSP28,1,Only Spanish
ASM_RSP28,2,More Spanish then English
ASM_RSP28,3,Both Equally
ASM_RSP28,4,More English than Spanish
ASM_RSP28,5,Only English
ASM_RSP28,6,Other
ASM_RSP28,87,I don't know
ASM_RSP28,88,Refused to answer
ASM_RSP29,1,Yes
ASM_RSP29,2,No
ASM_RSP29,87,Don't Know
ASM_RSP30,1,Face-to-face
ASM_RSP30,2,Phone
ASM_RSP30,3,Mailing
ASM_RSP30,87,Don't Know
ASM_RSP30,5,AUDIO TAPE
ASM_RSP31,1,Individual
ASM_RSP31,2,Group
ASM_RSP31,87,Don't Know
ASM_RSP32,1,Si
ASM_RSP32,2,No
ASM_RSP32,87,no se/no estoy segura
ASM_RSP32,88,no contesto
ASM_RSP33,1,Siempre
ASM_RSP33,2,Frecuentemente
ASM_RSP33,3,Algunas Veces
