TABLE,VAR,FORMAT,FORMAT.DESC,VAR.L,VAR.DESC
ADDRESS,UPLOAD_F,C,1,Upload Indicator,See Code Table.
ADDRESS,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
ADDRESS,CELL_NBR_N,N,10,Cell Phone Number,Cell Phone Number.
AGENCY,AGENCY_I,C,6,Agency ID,Cornerstone Agency Number.
AGENCY,REGION_C,C,4,Region Code,See Code Table.
AGENCY,AGNY_NME_T,C,30,Agency Name,Agency Name.
AGENCY,COMMENTS_M,M,4,Comments,Used to record additional notes.
AGENCY,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
AGENCY,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ALERT,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
ALERT,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
ALERT,ALRT_WRI_D,D,8,Alert Written Date,Date the alert was written.
ALERT,ALRT_SEQ_N,N,2,Alert Sequence Number,Each alert message has a unique sequence number.
ALERT,EMPL_ID_I,N,9,Employee ID,Provides a Link to the Employee Table.
ALERT,ALRT_MSG_M,M,10,Alert Message,The actual alert message text.
ALERT,ACKNOW_F,C,1,Acknowledged Field,"""Y"" = Yes, ""N"" or Blank = No."
ALERT,ACKN_BY_I,N,9,Acknowledged By,Employee ID of the person who acknowledged the alert.
ALERT,ACKN_D,D,8,Acknowledged Date,Date the alert was acknowledged.
ALERT,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ALERT,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
ALERT,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ALERT,UPLOAD_F,C,1,Upload Indicator,See Code Table.
APPNMNTS,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
APPNMNTS,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
APPNMNTS,APPOINT_D,D,8,Appointment Date,Record participant's appointment date.
APPNMNTS,STRT_TME_H,N,4,Start Time,HH:MM.
APPNMNTS,SCHD_ID_I,N,2,Schedule ID,Link to Schedule ID Table.
APPNMNTS,RSRC_N,N,2,Resource Number,Identifies Resource Within Schedule.
APPNMNTS,EMPL_ID_I,N,9,Employee ID,Link to Employee Table.
APPNMNTS,SERV_TYP_C,C,4,Service Type Code,Link to Service Type Table.
APPNMNTS,APPN_LGT_N,N,4,Time - Length Of Appointment,In Minutes.
APPNMNTS,COMMENTS,M,10,Comments,Used to record additional notes.
APPNMNTS,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
APPNMNTS,UPLOAD_F,C,1,Upload Indicator,See Code Table.
APPNMNTS,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
APPNMNTS,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ASSIGNFP,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number .
ASSIGNFP,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
ASSIGNFP,STRTCERT_D,D,8,Start/Certification Date,Beginning of WIC Certification Period.
ASSIGNFP,FP01_NBR_I,C,3,Food Package Number 1,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF01_RSN_C,C,4,Medically Prescribed Formula Reason Code 1,"Reason why Special Formula is needed, see Code Table."
ASSIGNFP,SF01_PA_D,D,8,Special Formula Physician Appointment Date 1,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP02_NBR_I,C,3,Food Package Number 2,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF02_RSN_C,C,4,Medically Prescribed Formula Reason Code 2,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF02_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 2,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP03_NBR_I,C,3,Food Package Number 3,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF03_RSN_C,C,4,Medically Prescribed Formula Reason Code 3,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF03_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 3,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP04_NBR_I,C,3,Food Package Number 4,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF04_RSN_C,C,4,Medically Prescribed Formula Reason Code 4,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF04_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 4,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP05_NBR_I,C,3,Food Package Number 5,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF05_RSN_C,C,4,Medically Prescribed Formula Reason Code 5,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF05_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 5,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP06_NBR_I,C,3,Food Package Number 6,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF06_RSN_C,C,4,Medically Prescribed Formula Reason Code 6,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF06_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 6,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP07_NBR_I,C,3,Food Package Number 7,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF07_RSN_C,C,4,Medically Prescribed Formula Reason Code 7,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF07_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 7,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP08_NBR_I,C,3,Food Package Number 8,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF08_RSN_C,C,4,Medically Prescribed Formula Reason Code 8,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF08_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 8,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP09_NBR_I,C,3,Food Package Number 9,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF09_RSN_C,C,4,Medically Prescribed Formula Reason Code 9,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF09_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 9,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP10_NBR_I,C,3,Food Package Number 10,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF10_RSN_C,C,4,Medically Prescribed Formula Reason Code 10,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF10_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 10,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP11_NBR_I,C,3,Food Package Number 11,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF11_RSN_C,C,4,Medically Prescribed Formula Reason Code 11,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF11_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 11,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,FP12_NBR_I,C,3,Food Package Number 12,Assigned Food Packages for WIC during the maximum 12 month certification period - Link to Food Package Table.
ASSIGNFP,SF12_RSN_C,C,4,Medically Prescribed Formula Reason Code 12,"Reason why Medically Prescribed Formula is needed, see Code Table."
ASSIGNFP,SF12_PA_D,D,8,Medically Prescribed Formula Physician Appointment Date 12,Date of appointment with Physician regarding Medically Prescribed Formula.
ASSIGNFP,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ASSIGNFP,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ASSIGNFP,UPLOAD_F,C,1,Upload Indicator,See Code Table.
ASSIGNFP,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
ASSMCODE,ASSM_TYP_C,C,4,Assessment Type Code,Type of Assessment.
ASSMCODE,PGM_ID_C,C,4,Program ID Code,See Code Table.
ASSMCODE,CATEGORY_C,C,4,Category,See Code Table.
ASSMCODE,AGE_LO_N,N,4,Age Low Number,The youngest age allowed.
ASSMCODE,AGE_HI_N,N,4,Age High Number,The oldest age allowed.
ASSMCODE,SEX_CODE,C,4,Sex Code,See Code Table.
ASSMCODE,BRF_DESC_T,C,30,Brief Description,Brief Description of Assessment.
ASSMCODE,ASSM_CDE_C,C,1,Assessment Code,"""A"" = Active, ""I"" = Inactive."
ASSMCODE,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ASSMCODE,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ASSMGOAL,ASSM_TYP_C,C,4,Assessment Type,See Code Table.
ASSMGOAL,QUESTION_N,N,3,Question Number,The question number within the assessment.
ASSMGOAL,GOAL_C,C,4,Goal Code,Recommended Goals that Link to Goal Table.
ASSMGOAL,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ASSMGOAL,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ASSMQTS,ASSM_TYP_C,C,4,Assessment Type,See Code Table.
ASSMQTS,QUESTION_N,N,3,Question Number,The question number in the assmqts table.
ASSMQTS,DISP_SEQ_N,N,3,Display Sequence Number,The question number that displays on the assessment screen.
ASSMQTS,SEQ_N,N,3,Sequence Number,"Within the question, the sequence number keeps track of each line of the question."
ASSMQTS,SKIP_TO_N,N,3,Skip to Number,"Based upon the answer of the assessment question, the application may skip over questions that do not apply and go directly to the next applicable question."
ASSMQTS,ACPT_VAL_C,C,4,Acceptable Value Type,Used to Control Possible Responses.
ASSMQTS,REL_OP_C,C,4,Relational Operand,Used to Control Possible Responses.
ASSMQTS,CMPR_VAL_T,C,10,Comparative Value,Used to Control Possible Responses.
ASSMQTS,NORM_HI_N,N,5,Norm High,Used to Control Possible Responses.
ASSMQTS,NORM_LOW_N,N,5,Norm Low,Used to Control Possible Responses.
ASSMQTS,QTS_NARR_T,C,63,Question Narrative,Used to Control Possible Responses.
ASSMQTS,REQ_RESP_F,C,1,Required Response Indicator,Used to Control Possible Responses.
ASSMQTS,REQ_RPT_F,C,1,Required Report Indicator,"""Y"" = Yes, ""N"" = No."
ASSMQTS,TBL_NME_T,C,10,Table Name Related To Assessment Question,To extract prior data captured.
ASSMQTS,ELEM_NME_T,C,10,Element Name Related To Assess Question,To extract prior data captured.
ASSMQTS,QTS_STAT_C,C,1,Question Status,"""A"" = Active, ""I"" = Inactive."
ASSMQTS,PRIORITY_C,C,4,Goal Priority,"""Y"" = Yes, ""N"" = No."
ASSMQTS,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ASSMQTS,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ASSMQTS,ANSWER_F,L,1,Answer Flag,"""Y"" = Yes, ""N"" or Blank = No."
ASSMRISK,ASSM_TYP_C,C,4,Assessment Type,Type of assessment.
ASSMRISK,QUESTION_N,N,3,Question Number,The question number.
ASSMRISK,RISK_C,C,4,Risk Code,See Code Table.
ASSMRISK,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ASSMRISK,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ASSMRISK,RISK_TYP_C,C,4,Risk Type Code,See Code Table.
ASSMRSLT,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number .
ASSMRSLT,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
ASSMRSLT,ASSM_TYP_C,C,4,Assessment Type,See Code Table.
ASSMRSLT,ASSESS_D,D,8,Date of Assessment,Date the assessment was given.
ASSMRSLT,QUESTION_N,N,3,Question Number,The question number within the assessment.
ASSMRSLT,QTS_RSLT_T,C,10,Question Result,Normative or non-normative value entered.
ASSMRSLT,COMMENTS_M,C,65,Comments,Used to record additional notes.
ASSMRSLT,EMPL_ID_I,N,9,Employee ID/Assessor,Link to Employee Table.
ASSMRSLT,CONFIDNT_F,C,1,Confidentiality Flag Indicator,Makes assessment confidential.
ASSMRSLT,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
ASSMRSLT,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ASSMRSLT,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ASSMRSLT,UPLOAD_F,C,1,Upload Indicator,See Code Table.
ASSMRSLT,COMMENTS,M,10,Comments,Used to record additional notes.
AUDIT,UP_DN_F,C,1,Upload/Download Flag,"""U"" = Uploaded.
""D"" = Downloaded."
AUDIT,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
AUDIT,PROCESS_D,D,8,Process Date,Date of the Process.
AUDIT,PROCESS_T,C,8,Process Time,Time of the Process.
AUDIT,DBF_NAME_T,C,10,DBF Name,Cornerstone Table Name.
AUDIT,CLIN_CNT_N,N,6,Clinic Count Number,Number of records from the clinic.
AUDIT,C_O_CNT_N,N,6,Central Office Count Number,Number of records from Central Office.
AUDIT,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
AUDIT,OPERATOR_I,N,9,Operator ID,User Making Last Update.
AUDIT,UPLOAD_F,C,1,Upload Indicator,See Code Table.
AUDIT,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
AUTHIFSP,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
AUTHIFSP,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
AUTHIFSP,START_D,D,8,Start Date,Authorization Start Date.
AUTHIFSP,END_D,D,8,End Date,Authorization End Date.
AUTHIFSP,NO_MNTHS_N,N,2,Number of Months,Number of Months Authorized.
AUTHIFSP,PROV_ID_I,N,9,Provider ID,Provider ID; links to Provider table.
AUTHIFSP,PROV_SFX_I,N,3,Provider suffix,Provider Suffix ID; links to Provider table.
AUTHIFSP,AUTH_TYP_C,C,4,Authorization Type code,See Code Table.
AUTHIFSP,SERV_TYP_C,C,4,Service Type Code,See Service Code Table.
AUTHIFSP,PROCHIPA_C,C,5,Procedure Code HIPA,See PROCHIPA table.
AUTHIFSP,MODIFR01_C,C,2,Modifier 1 Code,See Code Table.
AUTHIFSP,MODIFR02_C,C,2,Modifier 2 Code,See Code Table.
AUTHIFSP,MODIFR03_C,C,2,Modifier 3 Code,See Code Table.
AUTHIFSP,MODIFR04_C,C,2,Modifier 4 Code,See Code Table.
AUTHIFSP,METH_TYP_C,C,4,Method Type Code,See Code Table.
AUTHIFSP,IFSP_LOC_C,C,4,IFSP Location Code,See Code Table.
AUTHIFSP,NAT_ENV_I,C,1,Natural Environment Indicator,"""Y"" = Yes, ""N"" or blank = No."
AUTHIFSP,FREQ_N,N,4,Frequency Number,The number of procedures allowed per authorization.
AUTHIFSP,FREQ_TYP_C,C,4,Frequency Type Code,See Code Table.
AUTHIFSP,FREQ_INT_N,N,4,Frequency Intensity Number,The length in minutes of each procedure.
AUTHIFSP,AUTHSTAT_C,C,4,Authorization Status Code,The Status of each Authorization.
AUTHIFSP,AUTHSTAT_D,D,8,Authorization Status Date,The Date of the Status.
AUTHIFSP,AT_AMT_N,N,7.2,AT Authorization Amount,"For AT Authorizations, the amount paid for the equipment."
AUTHIFSP,AUTH_PRN_D,D,8,Authorization Print Date,The Date that the authorization was printed.
AUTHIFSP,PRIV_INS_C,C,4,Private Insurance Code,See Code Table.
AUTHIFSP,AUTH_NUM_C,C,14,Authorization Number Code,The Cornerstone generated authorization number.
AUTHIFSP,ENTRY_D,D,8,Entry Date,EIPGM Date of Record Entry.
AUTHIFSP,COMMENTS_T,C,40,Comments,Used to record additional notes.
AUTHIFSP,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
AUTHIFSP,OP_LNAME_T,C,30,Ordering Physician Last Name,"For AT Authorizations, the Last Name of the Physician that ordered the equipment."
AUTHIFSP,OP_FNAME_T,C,14,Ordering Physician First Name,"For AT Authorizations, the First Name of the Physician that ordered the equipment."
AUTHIFSP,OP_TAXID_T,C,10,Ordering Physician Tax ID,"For AT Authorizations, the Tax ID of the Physician that ordered the equipment."
AUTHIFSP,OPERATOR_I,N,9,Operator ID,User Making Last Update.
AUTHIFSP,UPLOAD_F,C,1,Upload Indicator,See Code Table.
AUTHIFSP,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
AUTHTRAK,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
AUTHTRAK,AUTH_NUM_C,C,14,Authorization Number,The Cornerstone generated authorization number from SV07.
AUTHTRAK,CHNG_D,D,8,Change Date,The Date that the record was edited..
AUTHTRAK,CHNGTIME_C,C,8,Change Time,The Time that the record was edited. .
AUTHTRAK,ORIG_ID_I,N,9,Original Employee ID,The ID of the employee .
AUTHTRAK,CHNG_ID_I,N,9,Change Employee ID,The ID of the new employee that .
AUTHTRAK,CHNG_STAT_C,C,4,Change Status Code,See Code Table for Change Status Code descriptions.
AUTHTRAK,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
AUTHTRAK,UPLOAD_F,C,1,Upload Indicator,See Code Table.
AUTHTRAK,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
BCCPROG,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number .
BCCPROG,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
BCCPROG,ACT_SERV_D,D,8,Date of Service,Beginning of Each BCCP Screening Cycle.
BCCPROG,SERV_TYP_C,C,4,Service Type Code,"Link to Service Type Table - Must be equal to ""BCS"" or ""CCS""."
BCCPROG,US_CITZN_F,C,1,US Citizen Flag,"""Y"" = Yes, ""N"" or Blank = No."
BCCPROG,PAYOR_C,C,4,Payor Code (Coverage Type),See Coverage Type in Code Table for Payor .
BCCPROG,PART_HIS_C,C,4,Participant History,Symptomatic or Asymptomatic.
BCCPROG,DIAG_ST_C,C,4,Diagnosis Status,See Code Values.
BCCPROG,DIAG_C,C,4,Diagnosis,See Code Values.
BCCPROG,DIAG_D,D,8,Diagnosis Date,Date of Diagnosis.
BCCPROG,NXT_SCRN_D,D,8,Next Screening Date,Date of participant's next screening.
BCCPROG,NOTIF_D,D,8,Notification Date,Date of Notification.
BCCPROG,STG_DIAG_C,C,4,Stage At Diagnosis,See Code Values.
BCCPROG,TUMOR_SZ_C,C,4,Tumor Size,See Code Values.
BCCPROG,STAT_TRT_C,C,4,Status of Treatment,See Code Values.
BCCPROG,TRT_PRV_C,C,4,Treatment Provided,See Code Values.
BCCPROG,TRTMNT_D,D,8,Treatment Date,Date that treatment started.
BCCPROG,RAD_TRT_F,C,1,Radiation Treatment Ind.,"""Y"" = Yes, ""N"" or Blank = No."
BCCPROG,CHEM_TRT_F,C,1,Chemotherapy Treatment Ind.,"""Y"" = Yes, ""N"" or Blank = No."
BCCPROG,PROV_ID_I,N,9,Transfer To Provider,Link to Provider Table for Transferred Participants.
BCCPROG,INDCTN_C,C,4,Indication Code,See Code Table.
BCCPROG,DIAG_REF_D,D,8,Diagnostic Referral Date,Date of Diagnostic Referral.
BCCPROG,WRKUP_C,C,4,Workup Code,See Code Table.
BCCPROG,LAST_UPD_D,D,8,Date of Last Update,Last Site Update of This Record.
BCCPROG,OPERATOR_I,N,9,Operator ID,User Making Last Update.
BCCPROG,UPLOAD_F,C,1,Upload Indicator,See Code Table.
BCCPROG,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
BIRTH,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number .
BIRTH,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
BIRTH,INF_WICM_F,C,1,Infant of WIC Mother Indicator,"""Y"" = Yes, ""N"" or Blank = No."
BIRTH,MOTHR_ID_I,C,14,Participant ID - Mother,Links to Mother's Participant Records.
BIRTH,BRTHCRT_T,C,15,Birth Certificate Number,From Vital Records.
BIRTH,LGT_INCH_N,N,2,Birth Length - Inches,Baby's length in inches at birth.
BIRTH,LGT_QICH_N,N,1,Birth Length - Quarter Inches,Baby's length in quarter inches at birth.
BIRTH,WGT_GRM_N,N,4,Birth Weight - Grams,Baby's weight in grams at birth.
BIRTH,HEADCIRC_N,N,4.1,Head Circumference,Baby's head circumference.
BIRTH,APGAR_N,C,2,APGAR Score,Baby's APGAR score at birth.
BIRTH,BRTHCITY_T,C,20,Place of Birth - City,City Code in Code Table.
